ANGELEGT_AM,TATZEIT_ANFANG_STUNDE,TATZEIT_ENDE_DATUM,TATZEIT_ENDE_STUNDE,VERSUCH,ERFASSUNGSGRUND,ART_DES_FAHRRADS_Fahrrad,ART_DES_FAHRRADS_Herrenfahrrad,ART_DES_FAHRRADS_Kinderfahrrad,ART_DES_FAHRRADS_Lastenfahrrad,ART_DES_FAHRRADS_Mountainbike,ART_DES_FAHRRADS_Rennrad,ART_DES_FAHRRADS_diverse FahrrÃ¤der,DELIKT_Keller- und Bodeneinbruch,TATZEIT_ANFANG_YEAR,TATZEIT_ANFANG_MONTH
2022-07-05,-1.0523244187513099,2022-07-05,18,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,False,False,False,False,False,True,False,2022,7
2022-08-29,0.8123217415312194,2022-08-29,8,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,True,False,False,False,False,False,False,2022,8
2023-05-08,1.371715589615978,2023-05-06,15,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,False,False,False,False,False,False,False,2023,5
2023-07-18,0.06646327741820769,2023-07-17,21,0,Sonstiger schwerer Diebstahl in/aus Keller/Boden von FahrrÃ¤dern,False,False,False,False,False,False,False,True,2023,7
2023-10-09,0.6258571255029665,2023-10-09,9,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,False,False,False,False,False,False,False,2023,10
2022-08-24,0.6258571255029665,2022-08-24,11,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,False,False,False,False,False,False,False,2022,8
2022-10-28,-1.4252536508078157,2022-10-27,18,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,False,False,False,False,False,False,False,2022,10
2022-07-26,1.1852509735877252,2022-07-26,21,0,Einfacher Diebstahl von FahrrÃ¤dern,True,False,False,False,False,False,False,False,2022,7
2022-06-27,-0.3064659546382982,2022-06-27,11,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,True,False,False,False,False,False,False,False,2022,6
2023-05-09,0.9987863575594723,2023-05-09,9,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,True,False,False,False,False,False,False,2023,5
2022-10-13,-0.3064659546382982,2022-10-13,16,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,True,False,False,False,False,False,False,2022,10
2022-05-20,-0.12000133861004524,2022-05-20,15,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,True,False,False,False,False,False,False,False,2022,5
2022-10-29,0.43939250947471353,2022-10-29,17,0,Einfacher Diebstahl von FahrrÃ¤dern,False,False,False,False,False,True,False,False,2022,10
2022-03-18,-1.0523244187513099,2022-03-18,12,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,True,False,False,False,False,False,False,False,2022,3
2022-01-24,-2.1711121149208275,2022-01-24,7,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,True,False,False,False,False,False,False,False,2022,1
2022-09-20,-1.0523244187513099,2022-09-20,13,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,True,False,False,False,False,False,False,2022,9
2023-08-30,-0.49293057066655105,2023-07-30,15,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,False,False,False,False,False,False,False,2023,7
2022-04-01,1.371715589615978,2022-04-01,9,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,True,False,False,False,False,False,False,False,2022,3
2022-06-19,0.2529278934464606,2022-06-19,17,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,True,False,False,False,False,False,False,2022,6
2023-06-13,-0.865859802723057,2023-06-12,10,0,Sonstiger schwerer Diebstahl in/aus Keller/Boden von FahrrÃ¤dern,True,False,False,False,False,False,False,True,2023,6
2022-08-04,-1.4252536508078157,2022-08-04,18,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,True,False,False,False,False,False,False,False,2022,8
2023-02-24,0.43939250947471353,2023-02-24,8,0,Sonstiger schwerer Diebstahl in/aus Keller/Boden von FahrrÃ¤dern,False,False,False,False,False,False,True,True,2023,2
2023-05-26,0.2529278934464606,2023-05-26,20,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,False,False,False,False,False,False,False,2023,5
2022-02-01,0.06646327741820769,2022-01-31,21,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,True,False,False,False,False,False,False,2022,1
2023-10-08,0.06646327741820769,2023-10-06,18,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,True,False,False,False,False,False,False,2023,10
2022-03-28,-0.12000133861004524,2022-03-21,14,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,False,False,False,False,False,False,False,2022,3
2023-11-16,0.6258571255029665,2023-11-16,7,0,Sonstiger schwerer Diebstahl in/aus Keller/Boden von FahrrÃ¤dern,False,True,False,False,False,False,False,True,2023,11
2022-12-26,0.6258571255029665,2022-12-23,10,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,True,False,False,False,False,False,False,2022,12
2022-07-17,0.6258571255029665,2022-07-17,13,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,True,False,False,False,False,False,False,2022,7
2023-05-04,0.06646327741820769,2023-05-04,15,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,False,False,False,True,False,False,False,2023,5
2023-04-25,-0.3064659546382982,2023-04-25,8,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,True,False,False,False,False,False,False,2023,4
2023-07-20,0.06646327741820769,2023-07-19,17,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,True,False,False,False,False,False,False,2023,7
2022-02-21,-1.4252536508078157,2022-02-16,7,0,Sonstiger schwerer Diebstahl in/aus Keller/Boden von FahrrÃ¤dern,False,False,False,False,True,False,False,True,2022,2
2022-07-01,0.6258571255029665,2022-07-01,10,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,True,False,False,False,False,False,False,2022,6
2022-05-12,1.1852509735877252,2022-05-11,21,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,True,False,False,False,False,False,False,False,2022,5
2023-10-30,0.8123217415312194,2023-10-30,5,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,False,False,False,False,False,False,False,2023,10
2022-08-29,-0.3064659546382982,2022-08-29,9,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,True,False,False,False,False,False,False,2022,8
2023-02-28,-1.6117182668360686,2023-02-27,16,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,True,False,False,False,False,False,False,2023,2
2022-06-11,-0.865859802723057,2022-06-11,20,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,False,True,False,False,False,False,False,2022,6
2023-10-05,-1.2387890347795627,2023-10-04,16,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,False,False,False,False,False,False,False,2023,10
2022-05-23,-0.679395186694804,2022-05-22,12,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,True,False,False,False,False,False,False,2022,5
2022-11-06,-1.2387890347795627,2022-11-03,18,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,True,False,False,False,False,False,False,2022,11
2022-09-01,0.6258571255029665,2022-08-31,18,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,False,False,False,False,False,False,False,2022,8
2022-02-10,0.2529278934464606,2022-01-14,22,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,True,False,False,False,False,False,False,2022,1
